YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,MA,Massachusetts,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,"(42.27687047, -72.082690675)",,25,DIA,DIA7_0,CRDPREV,GENDER,GENM,,,,
2015,2015,MD,Maryland,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.2,8.2,,,7.3,9.2,Race/Ethnicity,"White, non-Hispanic",,,,,"(39.290580964, -76.609260111)",,24,DIA,DIA2_1,AGEADJPREV,RACE,WHT,,,,
2015,2015,IA,Iowa,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Age-adjusted Prevalence,86.4,86.4,,,80.3,90.8,Gender,Female,,,,,"(42.469400913, -93.816490556)",,19,DIA,DIA13_2,AGEADJPREV,GENDER,GENF,,,,
2015,2015,ME,Maine,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(45.254228894001, -68.985031336)",,23,DIA,DIA5_0,CRDPREV,RACE,BLK,,,,
2015,2015,IL,Illinois,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,10.8,10.8,,,9.5,12.3,Gender,Male,,,,,"(40.485010283, -88.997710178)",,17,DIA,DIA2_1,CRDPREV,GENDER,GENM,,,,
2015,2015,CT,Connecticut,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,67.1,67.1,,,53.3,78.5,Gender,Male,,,,,"(41.56266102, -72.649840952)",,9,DIA,DIA5_0,AGEADJPREV,GENDER,GENM,,,,
2015,2015,VI,Virgin Islands,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,"(18.335765, -64.896335)",,78,DIA,DIA5_0,CRDPREV,RACE,HIS,,,,
2015,2015,RI,Rhode Island,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Crude Prevalence,48.9,48.9,,,43.5,54.4,Race/Ethnicity,"White, non-Hispanic",,,,,"(41.708280193, -71.522470314)",,44,DIA,DIA10_0,CRDPREV,RACE,WHT,,,,
2015,2015,AL,Alabama,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,64.7,64.7,,,51.9,75.7,Gender,Male,,,,,"(32.840571122, -86.631860762)",,1,DIA,DIA11_2,AGEADJPREV,GENDER,GENM,,,,
2015,2015,NH,New Hampshire,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,38.2,38.2,,,22.9,56.3,Gender,Male,,,,,"(43.655950113, -71.50036092)",,33,DIA,DIA12_1,AGEADJPREV,GENDER,GENM,,,,
