Year,Cause of Death,State,State FIPS Code,HHS Region,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths,Percent Potentially Excess Deaths
2015,Cancer,Alabama,AL,4,0-54,Floating,Metropolitan,849,"2,667,254",512,337,39.7
2015,Cancer,Colorado,CO,8,0-64,2010 Fixed,All,"2,290","4,744,949","2,436",2,0.1
2015,Cancer,Georgia,GA,4,0-64,Floating,All,"5,711","8,909,936","4,117","1,594",27.9
2015,Cancer,Hawaii,HI,9,0-69,Floating,All,"1,028","1,272,601",928,100,9.7
2015,Cancer,Idaho,ID,10,0-74,Floating,All,"1,558","1,557,180","1,359",203,13
2015,Cancer,Indiana,IN,5,0-64,2005 Fixed,All,"4,217","5,653,553","3,221",996,23.6
2015,Cancer,Alabama,AL,4,0-79,2010 Fixed,All,"7,757","4,681,102","5,819","1,938",25
2015,Cancer,Iowa,IA,7,0-69,2005 Fixed,All,"2,552","2,779,004","2,334",220,8.6
2015,Cancer,Kansas,KS,7,0-74,2005 Fixed,All,"3,089","2,720,499","2,762",330,10.7
2015,Cancer,Kentucky,KY,4,0-79,2005 Fixed,All,"7,865","4,268,500","5,766","2,099",26.7
2015,Cancer,Alaska,AK,10,0-84,2010 Fixed,All,884,"732,295",769,117,13.2
2015,Cancer,Arkansas,AR,6,0-49,2010 Fixed,All,363,"1,925,281",236,130,35.8
2015,Cancer,Louisiana,LA,6,0-84,2005 Fixed,All,"8,201","4,594,745","6,543","1,659",20.2
2015,Cancer,Maryland,MD,3,0-49,2005 Fixed,All,577,"3,923,194",545,32,5.5
2015,Cancer,Alabama,AL,4,0-49,2005 Fixed,All,535,"3,116,427",421,114,21.3
2015,Cancer,Alabama,AL,4,0-49,2005 Fixed,Metropolitan,388,"2,407,415",324,65,16.8
2015,Cancer,Alabama,AL,4,0-49,2005 Fixed,Nonmetropolitan,147,"709,012",98,49,33.3
2015,Cancer,Alabama,AL,4,0-49,2010 Fixed,All,535,"3,116,427",393,142,26.5
2015,Cancer,Alabama,AL,4,0-49,2010 Fixed,Metropolitan,388,"2,407,415",302,86,22.2
2015,Cancer,Alabama,AL,4,0-49,2010 Fixed,Nonmetropolitan,147,"709,012",91,56,38.1
2015,Cancer,Alabama,AL,4,0-49,Floating,All,535,"3,116,427",341,194,36.3
2015,Cancer,Alabama,AL,4,0-49,Floating,Metropolitan,388,"2,407,415",262,126,32.5
2015,Cancer,Alabama,AL,4,0-49,Floating,Nonmetropolitan,147,"709,012",79,68,46.3
2015,Cancer,Alabama,AL,4,0-54,2005 Fixed,All,"1,146","3,456,820",769,377,32.9
2015,Cancer,Alabama,AL,4,0-54,2005 Fixed,Metropolitan,849,"2,667,254",589,260,30.6
2015,Cancer,Alabama,AL,4,0-54,2005 Fixed,Nonmetropolitan,297,"789,566",179,119,40.1
2015,Cancer,Alabama,AL,4,0-54,2010 Fixed,All,"1,146","3,456,820",750,396,34.6
2015,Cancer,Alabama,AL,4,0-54,2010 Fixed,Metropolitan,849,"2,667,254",575,274,32.3
2015,Cancer,Alabama,AL,4,0-54,2010 Fixed,Nonmetropolitan,297,"789,566",175,123,41.4
2015,Cancer,Alabama,AL,4,0-54,Floating,All,"1,146","3,456,820",668,478,41.7
2015,Cancer,Alabama,AL,4,0-54,Floating,Nonmetropolitan,297,"789,566",156,141,47.5
2015,Cancer,Alabama,AL,4,0-59,2005 Fixed,All,"2,135","3,794,326","1,415",720,33.7
2015,Cancer,Alabama,AL,4,0-59,2005 Fixed,Metropolitan,"1,559","2,922,337","1,079",481,30.9
2015,Cancer,Alabama,AL,4,0-59,2005 Fixed,Nonmetropolitan,576,"871,989",337,239,41.5
2015,Cancer,Alabama,AL,4,0-59,2010 Fixed,All,"2,135","3,794,326","1,347",788,36.9
2015,Cancer,Alabama,AL,4,0-59,2010 Fixed,Metropolitan,"1,559","2,922,337","1,027",532,34.1
2015,Cancer,Alabama,AL,4,0-59,2010 Fixed,Nonmetropolitan,576,"871,989",320,256,44.4
2015,Cancer,Alabama,AL,4,0-59,Floating,All,"2,135","3,794,326","1,239",896,42
